date_created,company_name,company_number,status,cohort,postcode,company_type,sic_codes,registered_office
1985-07-22,ALPHA TECHNOLOGIES (N.I.) LTD,NI018662,dissolved,Wincham – Greenfield Farm,CW12 4TR,ltd,74909,"{'address_line_1': 'Unit A1 Boucher Business Studios', 'address_line_2': 'Glenmachan Place', 'locality': 'Belfast', 'postal_code': 'BT12 6QH'}"
1985-07-22,ALPHA TECHNOLOGIES (N.I.) LTD,NI018662,dissolved,Adrem – Albert Chambers,CW12 4AA,ltd,74909,"{'address_line_1': 'Unit A1 Boucher Business Studios', 'address_line_2': 'Glenmachan Place', 'locality': 'Belfast', 'postal_code': 'BT12 6QH'}"
1985-07-01,FARMRITE ANIMAL HEALTH LIMITED,NI018613,dissolved,Wincham – Greenfield Farm,CW12 4TR,ltd,47990,"{'address_line_1': 'Units 1-2 Glenavy Road Business Park 20, Glenavy Road', 'address_line_2': 'Moira', 'locality': 'Craigavon', 'postal_code': 'BT67 0LT', 'region': 'County Armagh', 'country': 'Northern Ireland'}"
1985-07-01,FARMRITE ANIMAL HEALTH LIMITED,NI018613,dissolved,Adrem – Albert Chambers,CW12 4AA,ltd,47990,"{'address_line_1': 'Units 1-2 Glenavy Road Business Park 20, Glenavy Road', 'address_line_2': 'Moira', 'locality': 'Craigavon', 'postal_code': 'BT67 0LT', 'region': 'County Armagh', 'country': 'Northern Ireland'}"
1985-05-17,BAHIA BLANCA CLUB B LIMITED,NI018484,dissolved,Wincham – Greenfield Farm,CW12 4TR,private-limited-guarant-nsc,74990,"{'address_line_1': '6b Upper Water Street', 'locality': 'Newry', 'postal_code': 'BT34 1DJ', 'region': 'Co Down'}"
1985-05-17,BAHIA BLANCA CLUB B LIMITED,NI018484,dissolved,Adrem – Albert Chambers,CW12 4AA,private-limited-guarant-nsc,74990,"{'address_line_1': '6b Upper Water Street', 'locality': 'Newry', 'postal_code': 'BT34 1DJ', 'region': 'Co Down'}"
1985-05-16,BARCLAY (NORTHERN IRELAND) LTD,NI018466,dissolved,Wincham – Greenfield Farm,CW12 4TR,ltd,46460,"{'address_line_1': 'Barclay (Northern Ireland) Ltd Maryland Industrial Estate', 'address_line_2': 'Ballygowan Road', 'locality': 'Castlereagh', 'postal_code': 'BT23 6BL', 'region': 'Belfast', 'country': 'Northern Ireland'}"
1985-05-16,BARCLAY (NORTHERN IRELAND) LTD,NI018466,dissolved,Adrem – Albert Chambers,CW12 4AA,ltd,46460,"{'address_line_1': 'Barclay (Northern Ireland) Ltd Maryland Industrial Estate', 'address_line_2': 'Ballygowan Road', 'locality': 'Castlereagh', 'postal_code': 'BT23 6BL', 'region': 'Belfast', 'country': 'Northern Ireland'}"
1985-04-12,CAFE RENO LIMITED,NI018360,dissolved,Wincham – Greenfield Farm,CW12 4TR,ltd,74990,"{'address_line_1': 'C/O Flannigan Edmonds & Bannon', 'address_line_2': 'Pearl Assurance House', 'locality': '2 Donegall Square East', 'postal_code': 'BT1 5HH', 'region': 'Belfast'}"
1985-04-12,PHILPOTT HOMES LIMITED,NI018358,dissolved,Wincham – Greenfield Farm,CW12 4TR,ltd,41202,"{'address_line_1': '1a Nevins Row', 'address_line_2': 'Ballyskeagh Road', 'locality': 'Lisburn', 'postal_code': 'BT27 5TF', 'country': 'Northern Ireland'}"
